checked_at,leg_id,label,date,stops,currency,lowest,all_prices,target,source,url,snapshot
2026-09-16 14:48,go_can_bud,去程 广州(CAN)→布达佩斯(BUD),2027-01-23,nonstop,CNY,3287,3287,3800,google-flights,https://www.google.com/travel/flights?q=Flights%20to%20BUD%20from%20CAN%20on%202027-01-23%20oneway%20nonstop&curr=CNY&hl=zh-CN&gl=CN,2026-09-16_go_can_bud_nonstop.png
2026-09-16 14:48,go_can_bud,去程 广州(CAN)→布达佩斯(BUD),2027-01-23,any,CNY,3098,3098|3287|3291|3404|4778|5824,3800,google-flights,https://www.google.com/travel/flights?q=Flights%20to%20BUD%20from%20CAN%20on%202027-01-23%20oneway&curr=CNY&hl=zh-CN&gl=CN,2026-09-16_go_can_bud_any.png
2026-09-16 14:48,back_bud_can,回程 布达佩斯(BUD)→广州(CAN),2027-02-02,nonstop,CNY,3313,3313,4200,google-flights,https://www.google.com/travel/flights?q=Flights%20to%20CAN%20from%20BUD%20on%202027-02-02%20oneway%20nonstop&curr=CNY&hl=zh-CN&gl=CN,2026-09-16_back_bud_can_nonstop.png
2026-09-16 14:48,back_bud_can,回程 布达佩斯(BUD)→广州(CAN),2027-02-02,any,CNY,3251,3251|3313|3595|4005|4497|7954|8078,4200,google-flights,https://www.google.com/travel/flights?q=Flights%20to%20CAN%20from%20BUD%20on%202027-02-02%20oneway&curr=CNY&hl=zh-CN&gl=CN,2026-09-16_back_bud_can_any.png
